Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,similarity,f0
11182,29750,250,44100,0.1448384961639746,1.3542643558898169,493.5873459951943,-0.6799324130040202,0.010055571519337607,(0.03111766402140588+0.1414562863816684j),(3101.300760166772-4.272141347262022j),(0.9974316368914178-0.07025952312046542j),90,0.6746031746031746,0.002831800572590792,2
11298,30000,250,44100,0.1446616532392587,2.619203975541715,491.4909654313702,-0.1790959598759939,0.010209926005242701,(-0.12536810226690076+0.07217917187050191j),(3088.1288126098952-1.1252931036680696j),(0.9975237556341396-0.06996659593628803j),91,0.6802721088435374,-2.9010753617743752e-5,2
11487,30250,250,44100,0.1752239262115071,-2.3814053114351794,494.2007871137741,4.5774138334624,0.01781175540810815,(-0.126985994327125-0.1207393124120188j),(3105.155124389852+28.760739343291537j),(0.9981728887344414-0.07039941150153162j),92,0.6859410430839002,-7.109467777405538e-5,2
11615,30500,250,44100,0.1191834972432674,-1.5158007100585904,519.9376960818003,2.9545036064202166,0.00775937043576902,(0.0065512663663353995-0.11900330635798852j),(3266.8648926699725+18.563693649868604j),(0.9976773166657564-0.07404199597985893j),93,0.691609977324263,-9.832240161656131e-6,2
11744,30750,250,44100,0.0796758542518333,-1.4033496340086482,545.3212906773823,7.8472736198965665,0.004171293505469208,(0.013279200121735578-0.07856147016754639j),(3426.354721276337+49.305874309952074j),(0.9980985498365872-0.07770380177291437j),94,0.6972789115646258,-0.00012420136834083963,2
11870,31000,250,44100,0.1074727491938857,-1.9665188450701565,547.2906768506176,11.296797525044584,0.008697171425852043,(-0.041428054792262116-0.09916707162874784j),(3438.7287395441713+70.97987222754284j),(0.9985673568263901-0.07802219161337712j),95,0.7029478458049887,0.0001856762023585641,2
11943,31250,250,44100,0.10114759624709,-2.635962614762372,561.7209224463587,-3.5539653702481777,0.004440028587496973,(-0.08849094526311813-0.04899172208653388j),(3529.3966466503252-22.33022299656841j),(0.9962945691588931-0.07990579174750134j),96,0.7086167800453514,5.458745374328065e-6,2
12052,31500,250,44100,0.0902948088181514,2.901591194131553,567.8728013565885,-14.535087790821354,0.002498518980255248,(-0.08770674541217165+0.021463441213165773j),(3568.0500418306287-91.32665004585412j),(0.9946667308051065-0.0806527238107118j),97,0.7142857142857143,0.0011382100087186135,2
12233,31750,250,44100,0.132515729183833,1.2512945114468073,558.5786857477043,1.3188228436077511,0.009038287895230162,(0.04162234602496844+0.1258093748196086j),(3509.653391193659+8.286408313729023j),(0.9970221896655578-0.07951493423898154j),98,0.719954648526077,0.00034417142758788377,2
12365,32000,250,44100,0.1290493853046347,0.1316909722189545,560.8022854858443,2.3568623236097195,0.008900343943485385,(0.12793198132138658+0.01694555996975189j),(3523.624680397389+14.808602722749729j),(0.9971444108934584-0.0798426036181668j),99,0.7256235827664399,-0.0009829551731716129,2
