,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,f0
302,250,250,44100,0.0523800908432439,1.1459808508862124,933.3834586828682,5.057346593034229e-05,0.002743678839367,(0.021588594093197775+0.04772427602201662j),(5864.6212335606615+0.0003177624580666741j),(0.9911705779131915-0.1325929858258945j),0
303,250,250,44100,0.3263042962334195,1.4254829517767929,-311.1271107631751,0.0003026370330708,0.1064756369119003,(0.04724968080570406+0.3228652372184814j),(-1954.8692910124173+0.0019015245595993026j),(0.9990177136405416+0.04431358786387903j),0
304,250,250,44100,0.3263042962334195,-1.4254829517767929,311.1271107631751,0.0003026370330708,0.1064756369119003,(0.04724968080570406-0.3228652372184814j),(1954.8692910124173+0.0019015245595993026j),(0.9990177136405416-0.04431358786387903j),1
305,500,250,44100,0.0024118767225609,-0.367089908499789,5911.208794116358,-0.0675805201844146,5.803224905290964e-06,(0.00225118719743347-0.0008656243567177509j),(37141.22024286266-0.4246209314742677j),(0.6658131983312369-0.7461055742508874j),0
306,500,250,44100,0.0024118767225609,0.367089908499789,-5911.208794116358,-0.0675805201844146,5.803224905290964e-06,(0.00225118719743347+0.0008656243567177509j),(-37141.22024286266-0.4246209314742677j),(0.6658131983312369+0.7461055742508874j),0
307,500,250,44100,0.0029230504824698,-2.8850623665347417,5289.16352205976,-0.0380426122908385,8.532703071034275e-06,(-0.002827397031347916-0.0007416536591914925j),(33232.79452907611-0.23902878259252636j),(0.7292412610416039-0.6842487434738969j),0
308,500,250,44100,0.0029230504824698,2.8850623665347417,-5289.16352205976,-0.0380426122908385,8.532703071034275e-06,(-0.002827397031347916+0.0007416536591914925j),(-33232.79452907611-0.23902878259252636j),(0.7292412610416039+0.6842487434738969j),0
309,500,250,44100,0.0035924263916163,1.0468854771078786,4666.896748217948,-0.0058020943292904,1.2902871297333356e-05,(0.0017971840121705394+0.0031105718132813437j),(29322.977078527198-0.03645563384066797j),(0.7869654257361585-0.6169957579923432j),0
310,500,250,44100,0.0035924263916163,-1.0468854771078786,-4666.896748217948,-0.0058020943292904,1.2902871297333356e-05,(0.0017971840121705394-0.0031105718132813437j),(-29322.977078527198-0.03645563384066797j),(0.7869654257361585+0.6169957579923432j),0
311,500,250,44100,0.0040316644887432,-0.212970985085851,4355.74551727905,-0.0324712726229002,1.6235608516138726e-05,(0.003940578173300708-0.0008521515181584178j),(27367.956235981073-0.20402302304962927j),(0.8135325681923644-0.5815113995342938j),0
