onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
0,250,44100,0.001014191846778534,-2.7300784361957873,17718.463511888596,-186.4517387875675,7.951474437800225e-08,(-0.0009295232478024112-0.0004056742952997028j),(111328.38960369604-1171.5108256481303j),(-0.7941578341701365-0.5635337696580084j)
0,250,44100,0.001014191846778534,2.7300784361957873,-17718.463511888596,-186.4517387875675,7.951474437800225e-08,(-0.0009295232478024112+0.0004056742952997028j),(-111328.38960369604-1171.5108256481303j),(-0.7941578341701365+0.5635337696580084j)
0,250,44100,0.0005061502302283643,1.3566085645484713,17541.503948510537,-89.23942401834528,4.074245229336222e-08,(0.00010758416538467924+0.0004945843739127917j),(110216.51987511411-560.7078378132361j),(-0.7905731466117885-0.5915114241900384j)
0,250,44100,0.0005061502302283643,-1.3566085645484713,-17541.503948510537,-89.23942401834528,4.074245229336222e-08,(0.00010758416538467924-0.0004945843739127917j),(-110216.51987511411-560.7078378132361j),(-0.7905731466117885+0.5915114241900384j)
0,250,44100,0.0019515422460133099,-2.637321025567239,17491.531883357165,-148.7879259220416,3.669780248901946e-07,(-0.0017086272138111297-0.0009429263927787206j),(109902.53612957303-934.8621100390966j),(-0.7796984163070417-0.5920804044860966j)
0,250,44100,0.0019515422460133099,2.637321025567239,-17491.531883357165,-148.7879259220416,3.669780248901946e-07,(-0.0017086272138111297+0.0009429263927787206j),(-109902.53612957303-934.8621100390966j),(-0.7796984163070417+0.5920804044860966j)
0,250,44100,0.0014639001108051523,-2.7589230085817382,17234.264024390588,-177.19946902291272,1.7408690381097235e-07,(-0.0013580178282423933-0.0005466178853560783j),(108286.07449810467-1113.3771002047895j),(-0.7544171270594853-0.6177500337919892j)
0,250,44100,0.0014639001108051523,2.7589230085817382,-17234.264024390588,-177.19946902291272,1.7408690381097235e-07,(-0.0013580178282423933+0.0005466178853560783j),(-108286.07449810467-1113.3771002047895j),(-0.7544171270594853+0.6177500337919892j)
0,250,44100,0.00019171200270487544,-0.7214384490752755,16898.894949391528,-71.79476649228688,7.216254792478522e-09,(0.00014394819576764214-0.00012661914909031232j),(106178.88845358817-451.09982195672626j),(-0.7350055482502161-0.662960517813761j)
0,250,44100,0.00019171200270487544,0.7214384490752755,-16898.894949391528,-71.79476649228688,7.216254792478522e-09,(0.00014394819576764214+0.00012661914909031232j),(-106178.88845358817-451.09982195672626j),(-0.7350055482502161+0.662960517813761j)
0,250,44100,0.001665841299582981,-2.770745035861433,16980.802915966196,-177.1606438380267,2.2547751716923842e-07,(-0.0015525982394150345-0.0006037101476384595j),(106693.53138571107-1113.133154373565j),(-0.7316259206389529-0.6445885018423989j)
0,250,44100,0.001665841299582981,2.770745035861433,-16980.802915966196,-177.1606438380267,2.2547751716923842e-07,(-0.0015525982394150345+0.0006037101476384595j),(-106693.53138571107-1113.133154373565j),(-0.7316259206389529+0.6445885018423989j)
0,250,44100,0.0012389020657968862,-2.739249621183647,16749.79646761338,-211.89014981754013,1.0478444846969747e-07,(-0.0011399708382433347-0.00048512350653269855j),(105242.07506355694-1331.3450760696494j),(-0.7065137030827048-0.6650162154115011j)
0,250,44100,0.001238902065796888,2.7392496211836472,-16749.79646761338,-211.89014981754013,1.0478444846969775e-07,(-0.0011399708382433364+0.00048512350653269866j),(-105242.07506355694-1331.3450760696494j),(-0.7065137030827048+0.6650162154115011j)
0,250,44100,0.0012841173380058431,-2.7176130309622804,16535.690240862325,-216.22104376349586,1.1038508445190488e-07,(-0.00117042028090186-0.0005282742695047942j),(103896.80596545903-1358.5568852778315j),(-0.6854787482122737-0.6858323366483678j)
0,250,44100,0.0012841173380058431,2.7176130309622804,-16535.690240862325,-216.22104376349586,1.1038508445190488e-07,(-0.00117042028090186+0.0005282742695047942j),(-103896.80596545903-1358.5568852778315j),(-0.6854787482122737+0.6858323366483678j)
0,250,44100,0.0012058571835588349,-2.7586895337806587,16329.708113350536,-219.38613707430554,9.59788053187064e-08,(-0.0011185337056572294-0.00045052624390722463j),(102602.58208833537-1378.4437530641633j),(-0.6647591745031018-0.7053330580259962j)
0,250,44100,0.0012058571835588349,2.7586895337806587,-16329.708113350536,-219.38613707430554,9.59788053187064e-08,(-0.0011185337056572294+0.00045052624390722463j),(-102602.58208833537-1378.4437530641633j),(-0.6647591745031018+0.7053330580259962j)
0,250,44100,0.0013994594321044894,-2.7954129691271823,16119.70680698225,-200.57183486724608,1.4102324276713075e-07,(-0.0013164376663550663-0.0004748458409924705j),(101283.10496567364-1260.2300058719309j),(-0.6450880446037386-0.7268498469442396j)
0,250,44100,0.0013994594321044894,2.7954129691271823,-16119.70680698225,-200.57183486724608,1.4102324276713075e-07,(-0.0013164376663550663+0.0004748458409924705j),(-101283.10496567364-1260.2300058719309j),(-0.6450880446037386+0.7268498469442396j)
0,250,44100,0.0014032353253999306,-2.6277647335531467,15888.146875311011,-198.04640690839742,1.4354207807383686e-07,(-0.001222034726380055-0.0006897104508208303j),(99828.1710052654-1244.3622740265523j),(-0.6209847385737115-0.7480020947159967j)
0,250,44100,0.0014032353253999306,2.6277647335531467,-15888.146875311011,-198.04640690839742,1.4354207807383686e-07,(-0.001222034726380055+0.0006897104508208303j),(-99828.1710052654-1244.3622740265523j),(-0.6209847385737115+0.7480020947159967j)
0,250,44100,0.0010423917459797425,-2.80213545684614,15694.409914633077,-211.86497411549692,7.418820556342853e-08,(-0.0009829082285929196-0.00034709071761000076j),(98610.88578047618-1331.1868924684736j),(-0.5989234947910105-0.763351544404933j)
0,250,44100,0.0010423917459797425,2.80213545684614,-15694.409914633077,-211.86497411549692,7.418820556342853e-08,(-0.0009829082285929196+0.00034709071761000076j),(-98610.88578047618-1331.1868924684736j),(-0.5989234947910105+0.763351544404933j)
0,250,44100,0.00047242530134463306,1.9260837099882804,15530.519100176143,-99.82823704539678,3.180604171531762e-08,(-0.00016433777779511943+0.0004429207154107034j),(97581.12942309867-627.2393122452779j),(-0.5902848489290374-0.7896317841084238j)
0,250,44100,0.00047242530134463306,-1.9260837099882804,-15530.519100176143,-99.82823704539678,3.180604171531762e-08,(-0.00016433777779511943-0.0004429207154107034j),(-97581.12942309867-627.2393122452779j),(-0.5902848489290374+0.7896317841084238j)
0,250,44100,0.001730735428887531,-2.4590730364457443,15464.8638815949,-155.57738413255603,2.763045021297451e-07,(-0.001343026349237918-0.0010916617379294628j),(97168.60551836934-977.5215341111106j),(-0.578261325674335-0.7888283084398353j)
0,250,44100,0.001730735428887531,2.4590730364457443,-15464.8638815949,-155.57738413255603,2.763045021297451e-07,(-0.001343026349237918+0.0010916617379294628j),(-97168.60551836934-977.5215341111106j),(-0.578261325674335+0.7888283084398353j)
