,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
52138,106250,250,44100,0.2884703716403902,-0.6639155181102684,991.0920677912832,-2.5201994307366946,0.0762002157640565,(0.22719508526008264-0.1777569929651394j),(6227.215118408425-15.834880034367158j),(0.9896914598402915-0.14068737316324115j)
52278,106500,250,44100,0.2660264745213203,1.7391110312661648,992.4068826279206,-1.240252693118394,0.0677457555621395,(-0.04456504976777015+0.26226711857462964j),(6235.476343671647-7.792737498591406j),(0.9898455808735873-0.1408984610855854j)
52815,107250,250,44100,0.2790577438874902,2.4218499972668663,996.0049290095186,2.354293049699508,0.0847559496550581,(-0.20984455655153594+0.183952402836346j),(6258.083535831054+14.792459498666966j),(0.9902802496750699-0.14147830936748795j)
52971,107500,250,44100,0.3031718118774863,-1.6390022522429777,995.8012649727754,2.4196884221392034,0.1002757440693766,(-0.020662085130287097-0.3024669002637259j),(6256.803876947788+15.2033507419376j),(0.9902935813452508-0.14145089206855832j)
53131,107750,250,44100,0.3291710472586737,0.5763964213056765,995.995744966568,1.9053457429169227,0.1160199595988143,(0.27598755989384416+0.17940023728304771j),(6258.025830787326+11.971640376992783j),(0.9902170943763223-0.1414679644134637j)
53293,108000,250,44100,0.3537106973784544,2.778779499508996,996.6215902708616,0.6942861881440617,0.1282441873209272,(-0.33068488085416087+0.1255339277423517j),(6261.958132807831+4.362328776324491j),(0.9900336342230915-0.14153183641144598j)
53518,108500,250,44100,0.3616831994878782,0.8719882927605421,997.3669960375262,-0.8031842652803857,0.1271572290351092,(0.2326728146179949+0.2769081041239647j),(6266.641655368825-5.0465555745675506j),(0.9898073963400917-0.1416067639816641j)
53810,109000,250,44100,0.32219859827155,-1.120344584145053,999.6889716585808,-2.137310416495177,0.0963244733539145,(0.1402763319226233-0.2900594549923958j),(6281.231058474665-13.429117405804377j),(0.9895723784971522-0.14190723332142485j)
54124,109500,250,44100,0.2724894218078045,3.0476868968579915,1001.0353893370996,-0.3090795250144435,0.0734422551352063,(-0.2712888589116575+0.025550734384014173j),(6289.690850249661-1.9420039303207968j),(0.9898029270060957-0.14213408045873924j)
54493,110000,250,44100,0.2291921785498863,0.8735983309312678,996.9239701664256,1.94644472395984,0.0563296161362066,(0.14715789653718425+0.17570887341052063j),(6263.858041724826+12.229872890821692j),(0.9902041748587822-0.1415997482217558j)
54633,110250,250,44100,0.2505257998813197,3.058483826112732,996.905481776623,1.2261019695132445,0.0655743220121843,(-0.24966109724647872+0.02079694515690575j),(6263.741875745664+7.70382587994957j),(0.9901029269350272-0.14158260830146027j)
54785,110500,250,44100,0.2617221217554857,-1.0298487057960426,994.4083701627146,1.6684764949417696,0.0727181962616666,(0.13477342538545267-0.2243537225589652j),(6248.052060742768+10.483346998392623j),(0.9902156453029457-0.14123924409504315j)
55079,111000,250,44100,0.289650726759889,-2.695847639626101,991.0850846224272,2.4829302597969343,0.0917424512646219,(-0.2613488725084767-0.12487718106635763j),(6227.171241864471+15.600710927107691j),(0.9903973284195189-0.14078670903963578j)
55375,111500,250,44100,0.3337772077527556,2.120568273921396,988.220059728139,1.902914538422637,0.1192791396165239,(-0.17439618607701152+0.28459303346536535j),(6209.1697595439755+11.956364668635537j),(0.9903728685509537-0.14037081974772944j)
55758,112250,250,44100,0.3508370882467357,-2.8711612254420897,985.8041016012062,-1.4123734645044907,0.1171206254965502,(-0.33808617081572795-0.09372514920023486j),(6193.9898469380705-8.874204200424945j),(0.9899534142549353-0.13996378224408096j)
55872,112500,250,44100,0.3254020591006966,-0.3023685929890728,984.2120681518096,-3.128553434341762,0.0949591163604808,(0.31063981815440783-0.0968989341735485j),(6183.9868057602835-19.65728097138239j),(0.9897431004149937-0.13970506709395283j)
56008,112750,250,44100,0.288881219637891,2.3200374838181577,982.8517134411816,-5.141443589378252,0.0699274893898953,(-0.19675218213805717+0.2115205377342545j),(6175.439445029913-32.30464281847411j),(0.9894863453869477-0.1394732297164571j)
56146,113000,250,44100,0.2512705460957556,-1.2949574624656692,978.9855993190135,-4.934931222271839,0.0532701095929429,(0.06843458491862807-0.24177178272551644j),(6151.1479335816275-31.007087347720216j),(0.9895921373893067-0.13893225962310798j)
56355,113250,250,44100,0.0200021753352048,2.503563061615796,994.094254848763,20.414294631374272,0.0009001184524301,(-0.016067165758360515+0.01191357220289712j),(6246.078416017386+128.26679608428594j),(0.9928702113152501-0.1415725391917706j)
56641,113750,250,44100,0.2110120668932768,0.7871496696389209,984.443858759427,2.3537383869765898,0.0484604937012301,(0.1489464958234432+0.14946917326489015j),(6185.443189100408+14.788974449995887j),(0.9905118671965691-0.13984694384440388j)
56710,114000,250,44100,0.2959367387484867,-2.971286735603936,994.3185675736672,-2.5175640089291758,0.0802030577390191,(-0.29165541155231756-0.050156497618338014j),(6247.4878144347185-15.818321190787932j),(0.989627053110094-0.14114237078267172j)
57099,114500,250,44100,0.2802859860749021,1.6767815753863964,999.531796199245,1.3525742222754005,0.0824537089429664,(-0.02965059684728122+0.27871325066559044j),(6280.243495937917+8.498474480270652j),(0.9900677194447869-0.1419556393397882j)
57168,114750,250,44100,0.0981307595738874,-0.9196451931146764,995.1221821818068,-16.218522728829527,0.0057229464023087,(0.05947728922888876-0.07805189325398339j),(6252.537073933216-101.90398371393985j),(0.987680994962798-0.14098020786294535j)
57399,115000,250,44100,0.3307492598697663,-0.3845865004503291,998.5213424046128,3.197729859454777,0.1228017546426937,(0.306589232668846-0.12408914261903171j),(6273.8946275019+20.091929269255697j),(0.9903484644854178-0.141850388667995j)
57859,115750,250,44100,0.4152212655171804,-0.230375578085228,997.5028963693516,0.6826554516764123,0.1766525081858934,(0.4042514115717503-0.09481295048639819j),(6267.495542336991+4.2892507038392775j),(0.9900142144427018-0.141655913974085j)
58088,116250,250,44100,0.4247117754869723,-2.198661159476277,999.1403879328489,-1.58678218827811,0.1705971847008549,(-0.24948340220675685-0.3437122695811687j),(6277.784205269388-9.970046531083293j),(0.9896610899189611-0.14184101311823238j)
58248,116500,250,44100,0.4006159300592487,-0.0792626437915536,1000.2181637006452,-2.2450696359871096,0.1483641098373894,(0.399358140627319-0.03172063889532167j),(6284.55607013804-14.10618855042923j),(0.9895464835819585-0.14197966395266745j)
58582,117000,250,44100,0.0020143449286029,-0.0906282253406055,503.3143993726279,-10.904509835050176,2.82568865881983e-06,(0.0020060782030532484-0.000182306704821926j),(3162.417639030014-68.51505597758256j),(0.9958814954953128-0.07153747750533646j)
