Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,similarity,clusterSimilarity,clusters
55341,100000,250,44100,0.0374819266417478,0.1378871191438734,313.9924120825324,8.569772048110229,0.0017996606817391283,(0.03712617157064479+0.005151913167398435j),(1972.8725101628456+53.8454658185645j),(1.0002200058855881-0.044776055045336965j),384,2.2675736961451247,1.9414124703752791e-7,1,5
55494,100250,250,44100,0.0390437061470066,0.8408316672715329,667.7831193113606,18.303804398153684,0.0029123373306876124,(0.026036033842269525+0.029095290537439176j),(4195.805083639693+115.00619485996832j),(0.998076764381985-0.09524756318129138j),385,2.2732426303854876,-1.594911340882656e-9,1,6
55551,100500,250,44100,0.0111563260655109,2.943256751644772,330.90432818086015,-167.26673862762482,9.954382360068723e-6,(-0.010937615507282963+0.0021982216209568417j),(2079.1332129081125-1050.9679145249404j),(0.9753652616172361-0.04601855219441816j),386,2.2789115646258504,-0.000607848580029107,1,5
55780,100750,250,44100,0.0776942362705131,-1.1084380535555742,380.3206519431473,8.65299783817435,0.007757780899266924,(0.034656291585185704-0.06953657888637399j),(2389.6251323061447+54.3683888798738j),(0.9997640631475531-0.054226809921719216j),387,2.2845804988662133,4.302242373698999e-6,1,7
55997,101250,250,44100,0.0787982108789195,-2.4182748166225028,381.6158427871832,-24.7790811223208,0.002722895904434233,(-0.05906823136188122-0.05215459789412581j),(2397.7630563873845-155.69155843317708j),(0.9950032704959584-0.054152739779317415j),388,2.295918367346939,4.3570604522263965e-8,1,7
56210,101500,250,44100,0.0200429417861998,0.3684703391427436,321.46110963869364,23.946477337069748,0.0009842306597335013,(0.018697647579967152+0.007219244449410614j),(2019.7997209114858+150.4601545629856j),(1.0023653806218864-0.04594091029392536j),389,2.3015873015873014,-4.793727087322685e-12,1,5
56491,102000,250,44100,0.0006161107855626,-2.506779472480632,354.3409648812819,104.68305120410103,8.081313197989636e-5,(-0.0004960816220967133-0.0003653703933059599j),(2226.389944273908+657.7430092363359j),(1.0137333442700327-0.05122188554570446j),390,2.312925170068027,-0.00031018865667559344,1,7
56583,102250,250,44100,0.1305022873926156,-0.4966388693067369,369.9512439829133,-17.57894447832349,0.009061408764919985,(0.11473617733064045-0.06218083809548301j),(2324.472220566251-110.45176566192787j),(0.9961132285407408-0.05255292977547485j),391,2.31859410430839,0.000516518492420905,1,7
56703,102500,250,44100,0.1142323636786806,-2.175379017272846,369.4102229336916,-19.61137220793349,0.00656099138531766,(-0.0649318218025623-0.09398346359343572j),(2321.0728850589066-123.22188571051778j),(0.9958288706928647-0.05246095336668776j),392,2.324263038548753,-1.2052107338171522e-10,1,7
57075,103000,250,44100,0.0059112358097654,1.2643809415283709,1090.2095876270205,35.675208765698386,0.0001489224562955901,(0.0017830825184889708+0.005635896160409001j),(6849.988862724411+224.15394754720046j),(0.9929952025988458-0.15549304134936429j),393,2.3356009070294785,-6.536307223472897e-6,1,-1
57210,103250,250,44100,0.0116098062987066,0.5315821195072201,1106.390991770231,6.642920168522205,0.00016026207958242763,(0.010007724741411246+0.0058849849442147465j),(6951.6596234865665+41.73869839962566j),(0.9885366294369038-0.15713063495539387j),394,2.3412698412698414,6.123551418066696e-7,1,-1
57366,103500,250,44100,0.0391915161510424,-2.898685343632294,375.6003070704652,8.731436207196603,0.0019800537635763895,(-0.038040962797606055-0.009426562875649434j),(2359.966330757288+54.861231687633556j),(0.9998114798885089-0.05355501970697116j),395,2.3469387755102042,-8.647710041127359e-7,1,7
57516,103750,250,44100,0.0272329382748603,1.7248702241618687,350.88809342761607,23.113801285681312,0.0017502225112128443,(-0.0041793037748113345+0.02691033903614378j),(2204.694913088655+145.22829663126146j),(1.0020450719539964-0.05013709769429787j),396,2.352607709750567,6.196391560331323e-8,1,7
57949,104500,250,44100,0.0080658734754783,-1.0464816322415125,374.9160064365617,39.3250746246904,0.0003324418597439742,(0.004037936577627121-0.006982362287756691j),(2355.6667430686516+247.0867310855955j),(1.0041842643042433-0.05369106375289242j),397,2.369614512471655,-0.004182550077655183,1,7
58022,104750,250,44100,0.0390265813662805,-0.7927506004811511,387.868924146316,-0.2209394118067282,0.00140639839568472,(0.02739231870415622-0.027798110172255468j),(2437.052325307686-1.3882032660409345j),(0.9984420165958366-0.0552320958643966j),398,2.375283446712018,1.0293377441855431e-6,1,7
58158,105000,250,44100,0.0812664775721571,-2.035642587521282,351.579226772123,-12.28437269490231,0.004103098222174501,(-0.03643057383402504-0.0726433318833158j),(2209.037431964163-77.18499002452829j),(0.9969991781744421-0.0499830481324802j),399,2.380952380952381,-5.050501487307827e-6,1,7
58288,105250,250,44100,0.0545784297812595,-1.9632305354535688,356.40874725461555,-8.643632083624112,0.0020724965357349257,(-0.020872904179133553-0.05042942463003707j),(2239.3822041004832-54.3095421084931j),(0.9974818265612664-0.05069535123494835j),400,2.386621315192744,-1.8258824947552973e-8,1,7
58583,105750,250,44100,0.0188498013034567,-3.067192183262404,377.9548218591717,-16.747299200890534,0.0001935655111915924,(-0.01879765448703082-0.0014011405946620986j),(2374.760183483226-105.22638427397584j),(0.9961706825883521-0.053695141757594995j),401,2.3979591836734695,-5.315878366339372e-5,1,7
58877,106250,250,44100,0.036440682018888,1.2361330818132787,392.20861312375337,-5.676951736451026,0.001017300426138912,(0.011968982688816418+0.03441898835521642j),(2464.31939532845-35.669339740036726j),(0.9976318650300404-0.05580602519154838j),402,2.409297052154195,-1.3325671343873255e-5,1,7
59101,106500,250,44100,0.0381577480096455,-0.1782717221241672,384.9361008018703,3.291782267979401,0.0015263857278472437,(0.037553010135191155-0.006766473450316685j),(2418.6248527613116+20.682877980602466j),(0.9989648433915749-0.05484232606006263j),403,2.4149659863945576,-0.00013809199146819055,1,7
59415,107000,250,44100,0.0607232187000976,-2.1252680710611016,388.7361691704295,0.3124059000806159,0.0034699144772819958,(-0.031970426210951516-0.05162558607115268j),(2442.5013865009205+1.9629041612627398j),(0.998511057219364-0.05535967097085748j),404,2.4263038548752833,-7.662667572006789e-6,1,7
