onset,duration,sample_rate,amplitude,phase,frequency,decay,d,w,z
4250,160,44100,1.0007006731832617e-06,1.3250617767503012,11074.270873142974,216.33205164588549,(2.434393256786372e-07+9.706385176895483e-07j),(69581.69603785878+1359.2543683734432j),(-0.007239587743482733-1.0312766025551294j)
4250,160,44100,2.0996720625236557e-06,-2.4260438826447577,-10856.316647007521,189.78563957214516,(-1.5846925165107204e-06-1.3774514141185752e-06j),(-68212.2492465668+1192.4583420733832j),(0.024689651634760917+1.027112065233884j)
4250,160,44100,2.0996720625236557e-06,2.4260438826447577,10856.316647007521,189.78563957214516,(-1.5846925165107204e-06+1.3774514141185752e-06j),(68212.2492465668+1192.4583420733832j),(0.024689651634760917-1.027112065233884j)
4250,160,44100,1.941088919039957e-06,2.1232521076841766,-10654.516432047838,188.48004058899355,(-1.0186432145433165e-06+1.6523293234354245e-06j),(-66944.30110094644+1184.2550217253763j),(0.054196471970448995+1.0257869578258285j)
4250,160,44100,1.941088919039957e-06,-2.1232521076841766,10654.516432047838,188.48004058899355,(-1.0186432145433165e-06-1.6523293234354245e-06j),(66944.30110094644+1184.2550217253763j),(0.054196471970448995-1.0257869578258285j)
4250,160,44100,2.8413547956142328e-06,0.49214795606680745,-10453.94589968661,174.92128339951327,(2.5041426386720615e-06+1.3425970057111414e-06j),(-65684.07927896119+1099.0628377688183j),(0.08332259591059389+1.021843716831198j)
4250,160,44100,2.8413547956142328e-06,-0.49214795606680745,10453.94589968661,174.92128339951327,(2.5041426386720615e-06-1.3425970057111414e-06j),(65684.07927896119+1099.0628377688183j),(0.08332259591059389-1.021843716831198j)
4250,160,44100,3.077855619876826e-06,-2.0313012011149496,-10280.880653745395,166.48212914265864,(-1.3678004048443598e-06-2.757229999349885e-06j),(-64596.678268479925+1046.0380677371272j),(0.10836057891459187+1.0182537044510607j)
4250,160,44100,3.077855619876826e-06,2.0313012011149496,10280.880653745395,166.48212914265864,(-1.3678004048443598e-06+2.757229999349885e-06j),(64596.678268479925+1046.0380677371272j),(0.10836057891459187-1.0182537044510607j)
4250,160,44100,4.914950924325609e-06,2.3000726730012766,-10098.074728617095,150.38738058825433,(-3.2749802921431423e-06+3.6648665288934016e-06j),(-63448.07476564842+944.9117800973441j),(0.13453283216232015+1.0127613304718284j)
4250,160,44100,4.914950924325609e-06,-2.3000726730012766,10098.074728617095,150.38738058825433,(-3.2749802921431423e-06-3.6648665288934016e-06j),(63448.07476564842+944.9117800973441j),(0.13453283216232015-1.0127613304718284j)
4250,160,44100,4.922410197850037e-06,0.5228037748494223,-9904.098473161444,155.9608841785373,(4.264887591734037e-06+2.4578152871546484e-06j),(-62229.286007427756+979.9311359653227j),(0.1625965767435402+1.0094582621041908j)
4250,160,44100,4.922410197850037e-06,-0.5228037748494223,9904.098473161444,155.9608841785373,(4.264887591734037e-06-2.4578152871546484e-06j),(62229.286007427756+979.9311359653227j),(0.1625965767435402-1.0094582621041908j)
4250,160,44100,3.11933088802447e-06,-1.347143716213611,-9708.707978887263,174.5804016024586,(6.91844921986954e-07-3.041640312874682e-06j),(-61001.61132464167+1096.9210142700795j),(0.19113806332903022+1.0072097016885777j)
4250,160,44100,3.11933088802447e-06,1.347143716213611,9708.707978887263,174.5804016024586,(6.91844921986954e-07+3.041640312874682e-06j),(61001.61132464167+1096.9210142700795j),(0.19113806332903022-1.0072097016885777j)
4250,160,44100,3.2271659435630664e-06,-2.8470434850295407,-9501.077924295443,180.2366849927712,(-3.088181974315933e-06-9.368735884864309e-07j),(-59697.033216301454+1132.4604909613354j),(0.22102368743658954+1.001922658687449j)
4250,160,44100,3.2271659435630664e-06,2.8470434850295407,9501.077924295443,180.2366849927712,(-3.088181974315933e-06+9.368735884864309e-07j),(59697.033216301454+1132.4604909613354j),(0.22102368743658954-1.001922658687449j)
4250,160,44100,1.4011294623171232e-06,1.793988464023637,-9300.41974499293,209.59361427042813,(-3.101311857002349e-07+1.3663756503353083e-06j),(-58436.2606923425+1316.9155176626198j),(0.2506194454907324+0.9993665379006837j)
4250,160,44100,1.4011294623171232e-06,-1.793988464023637,9300.41974499293,209.59361427042813,(-3.101311857002349e-07-1.3663756503353083e-06j),(58436.2606923425+1316.9155176626198j),(0.2506194454907324-0.9993665379006837j)
4250,160,44100,1.515320426862807e-06,-0.7535689393830198,-9125.911634326249,209.35591203621215,(1.105049674187583e-06-1.0368515870873691e-06j),(-57339.79389541793+1315.42199047711j),(0.27537754223905003+0.9927934795151441j)
4250,160,44100,1.515320426862807e-06,0.7535689393830198,9125.911634326249,209.35591203621215,(1.105049674187583e-06+1.0368515870873691e-06j),(57339.79389541793+1315.42199047711j),(0.27537754223905003-0.9927934795151441j)
4250,160,44100,2.945578376677335e-06,-2.5775569701914085,-8928.867865476654,186.26071543109984,(-2.489321594280493e-06-1.5747094885717517e-06j),(-56101.73138211086+1170.3105905014445j),(0.3021411978348628+0.9814375955791869j)
4250,160,44100,2.945578376677335e-06,2.5775569701914085,8928.867865476654,186.26071543109984,(-2.489321594280493e-06+1.5747094885717517e-06j),(56101.73138211086+1170.3105905014445j),(0.3021411978348628-0.9814375955791869j)
4250,160,44100,9.908202021510556e-06,0.9618239208354316,-8729.958906097601,103.08723696509738,(5.6677381949418035e-06+8.127066571196748e-06j),(-54851.949531074024+647.7162126568402j),(0.32594433714974125+0.9610259474467431j)
4250,160,44100,9.908202021510556e-06,-0.9618239208354316,8729.958906097601,103.08723696509738,(5.6677381949418035e-06-8.127066571196748e-06j),(54851.949531074024+647.7162126568402j),(0.32594433714974125-0.9610259474467431j)
4250,160,44100,7.105775689413126e-06,-2.250801040839419,-8665.969662623955,158.6388689842021,(-4.468088230002365e-06-5.525236258945759e-06j),(-54449.893256662865+996.757410749126j),(0.33735179080324457+0.9656269868009607j)
4250,160,44100,7.105775689413126e-06,2.250801040839419,8665.969662623955,158.6388689842021,(-4.468088230002365e-06+5.525236258945759e-06j),(54449.893256662865+996.757410749126j),(0.33735179080324457-0.9656269868009607j)
4250,160,44100,2.285046895173933e-06,1.6317722837744753,-8474.673855153344,198.2589421071365,(-1.3924659569584581e-07+2.280800232096434e-06j),(-53247.94624983847+1245.6976720645282j),(0.3655993976715551+0.9614871736418673j)
4250,160,44100,2.285046895173933e-06,-1.6317722837744753,8474.673855153344,198.2589421071365,(-1.3924659569584581e-07-2.280800232096434e-06j),(53247.94624983847+1245.6976720645282j),(0.3655993976715551-0.9614871736418673j)
4250,160,44100,3.2021013858104713e-06,0.10139820430253824,-8266.51192804738,192.85641411819057,(3.1856541289247888e-06+3.241312324873777e-07j),(-51940.02628793209+1211.7525875827566j),(0.3936471537670336+0.9494918337716951j)
4250,160,44100,3.2021013858104713e-06,-0.10139820430253824,8266.51192804738,192.85641411819057,(3.1856541289247888e-06-3.241312324873777e-07j),(51940.02628793209+1211.7525875827566j),(0.3936471537670336-0.9494918337716951j)
4250,160,44100,1.6930326004761287e-06,-1.4466208751551548,-8059.845948316609,212.4184000889871,(2.0969322118234455e-07-1.679996470015677e-06j),(-50641.50564059384+1334.6641704137187j),(0.422606394794866+0.9401075620826748j)
4250,160,44100,1.6930326004761287e-06,1.4466208751551548,8059.845948316609,212.4184000889871,(2.0969322118234455e-07+1.679996470015677e-06j),(50641.50564059384+1334.6641704137187j),(0.422606394794866-0.9401075620826748j)
4250,160,44100,3.5882481487881802e-06,3.0908483896377725,-7856.878842366539,192.8660794553845,(-3.5836293058445026e-06+1.820048778858633e-07j),(-49366.22570264759+1211.8133166874024j),(0.44836110905976245+0.924915158108621j)
4250,160,44100,3.5882481487881802e-06,-3.0908483896377725,7856.878842366539,192.8660794553845,(-3.5836293058445026e-06-1.820048778858633e-07j),(49366.22570264759+1211.8133166874024j),(0.44836110905976245-0.924915158108621j)
4250,160,44100,3.905187658733225e-06,2.3156209876778893,-7621.197845916552,193.31852832633126,(-2.6471037681403747e-06+2.871120389433246e-06j),(-47885.398328571595+1214.6561367855852j),(0.4791910026491103+0.9093997665672399j)
4250,160,44100,3.905187658733225e-06,-2.3156209876778893,7621.197845916552,193.31852832633126,(-2.6471037681403747e-06-2.871120389433246e-06j),(47885.398328571595+1214.6561367855852j),(0.4791910026491103-0.9093997665672399j)
4250,160,44100,1.7328570304741374e-06,1.3351870610416394,-7394.7625032975475,226.5240384135713,(4.04510281388647e-07+1.6849821721058426e-06j),(-46462.66311080169+1423.2925098831354j),(0.5106855647830422+0.897706785157273j)
4250,160,44100,1.7328570304741374e-06,-1.3351870610416394,7394.7625032975475,226.5240384135713,(4.04510281388647e-07-1.6849821721058426e-06j),(46462.66311080169+1423.2925098831354j),(0.5106855647830422-0.897706785157273j)
4250,160,44100,6.439413957154849e-07,-1.0313196051656983,-7214.139000633613,260.2254663312815,(3.307843887028462e-07-5.524872933439203e-07j),(-45327.772172732344+1635.0448266066642j),(0.5361843376883102+0.8885249111650896j)
4250,160,44100,6.439413957154849e-07,1.0313196051656983,7214.139000633613,260.2254663312815,(3.307843887028462e-07+5.524872933439203e-07j),(45327.772172732344+1635.0448266066642j),(0.5361843376883102-0.8885249111650896j)
4250,160,44100,1.216932375354362e-06,-2.8658074627922794,-7018.711743835732,246.26658627245092,(-1.1709465511953625e-06-3.313737775221446e-07j),(-44099.86650419748+1547.3385965163377j),(0.5595990616900247+0.8715180986831264j)
4250,160,44100,1.216932375354362e-06,2.8658074627922794,7018.711743835732,246.26658627245092,(-1.1709465511953625e-06+3.313737775221446e-07j),(44099.86650419748+1547.3385965163377j),(0.5595990616900247-0.8715180986831264j)
4250,160,44100,1.0475776841179083e-06,1.994239283854186,-6808.160866653685,253.04252490261914,(-4.3045151003128444e-07+9.550552349333661e-07j),(-42776.93632627347+1589.913074559761j),(0.5860530367314556+0.8551666041778189j)
4250,160,44100,1.0475776841179083e-06,-1.994239283854186,6808.160866653685,253.04252490261914,(-4.3045151003128444e-07-9.550552349333661e-07j),(42776.93632627347+1589.913074559761j),(0.5860530367314556-0.8551666041778189j)
